256 10 11
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 2 3 4 5 6 7 8 9 10 20 
2 25000 25000 7 4096 1 0 0 1 1 1084.84 1086.02 1085.96 1082.68 1090.74 1091.02 1093.08 1084.02 1080.5 1112.61 1091.76 
2 50000 50000 13 4096 1 0 0 1 1 839.482 1119.97 1191.47 1126.61 1314.38 1396.85 1308.89 1189.67 1102.42 1018.54 948.714 
2 75000 75000 19 4096 1 0 0 1 1 941.464 1197.77 1295.02 1261.97 1399.55 1227.42 1386.47 1497.17 1561.56 1448.1 976.979 
2 100000 100000 25 4096 1 0 0 1 1 966.18 1172.24 1342.26 1443.18 1311.93 1464.54 1439.91 1307.42 1439.68 1525.91 1113.16 
2 250000 250000 62 4096 1 0 0 1 1 1027.28 1331.11 1463.17 1584.69 1554.83 1649.79 1581.46 1633.82 1660.78 1761.12 1448.33 
2 500000 500000 123 4096 1 0 0 1 1 1030.5 1358.86 1499.6 1563.35 1630.29 1656.86 1699.41 1703.11 1688.39 1706.73 1879.51 
2 750000 750000 184 4096 1 0 0 1 1 957.491 1157.22 1221.58 1375.31 1352.34 1435.31 1420.48 1456.95 1487.89 1451.05 1467.61 
2 1000000 1e+06 245 4096 1 0 0 1 1 716.964 878.725 921.253 937.031 963.306 1032.35 1067.48 1081.03 1086.64 1069.59 1098.83 
2 250 124750 16 16 1 0 0 2 1 7177.08 7165.59 7205.51 7210.22 7455.84 7198.38 7194.42 7354.62 7190.08 7275.36 7251.51 
2 500 499500 32 16 1 0 0 2 1 4966.08 6660.12 7486.36 8068.04 8484.76 8056.79 8445.7 9509.78 9021.44 8392.8 8798.42 
2 750 1.12425e+06 47 16 1 0 0 2 1 6238.77 8254.67 9059.02 9535.57 10051.1 10383.2 10202.4 10704.6 9782.19 9838.88 10689.4 
2 1000 1.999e+06 63 16 1 0 0 2 1 7268.86 9607.61 10108.1 10497.2 10810.2 11340.8 10900.2 11876.1 11002.1 11993.7 10234.7 
2 2500 1.24975e+07 157 16 1 0 0 2 1 4833.84 5178.12 5246.11 5367.3 5388.05 5457.09 5485.21 5413.53 5407.55 5460.13 5556.86 
2 250 62500 63 4 1024 0 0 2 2 387.175 666.399 757.796 900.616 924.321 1038.69 1066.63 1092.43 1161.8 1179.04 1154.28 
2 500 250000 125 4 1024 0 0 2 2 682.017 997.418 1197.97 1334.24 1388.64 1422.43 1511.77 1538.29 1511.96 1521.97 1731.16 
2 750 562500 188 4 1024 0 0 2 2 899.423 1158.84 1332.2 1460.19 1538.02 1565.86 1541.06 1616.36 1598 1622.38 1708.76 
2 1000 1e+06 250 4 1024 0 0 2 2 707.87 856.46 931.131 924.206 977.51 1057.05 1050.48 1052.54 1077.98 1077.2 1099.18 
2 2500 6.25e+06 1875 4 1024 0 0 2 2 542.788 604.166 684.226 681.712 709.5 727.183 738.714 731.947 745.163 752.775 769.84 
2 250 62500 63 4 1024 0 0 0 2 405.93 701.303 821.722 1057.71 1055.12 1234.15 1266.48 1276.87 1438.24 1359.2 1409.42 
2 500 250000 125 4 1024 0 0 0 2 747.943 1111.37 1398.49 1631.23 1681.14 1750.93 1881.2 1924.4 1892.87 1867.51 2243.44 
2 750 562500 188 4 1024 0 0 0 2 1035.3 1413.94 1643.32 1864.32 1989.09 2131.13 2081.14 2117.22 2128.06 2177.66 2354.34 
2 1000 1e+06 250 4 1024 0 0 0 2 1073.45 1445.59 1683.68 1761.52 1861.74 2013.96 2035.95 2017.98 2132.97 2017.54 2123.57 
2 2500 6.25e+06 1875 4 1024 0 0 0 2 675.103 768.264 879.802 892.624 919.302 944.986 964.244 953.155 976.716 986.864 1015.95 
2 250 62500 16 64 64 0 1 2 2 761.17 911.851 894.949 1070.06 946.844 1004.16 1110.66 1166.25 1054.76 972.704 701.217 
2 500 250000 64 64 64 0 1 2 2 807.454 994.116 1018.6 1085.34 1075.64 1121.89 1104.5 1188.64 1081.45 1183.93 1018.11 
