72 10 6
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 4X1024 1024X4 64X64 64X1024 1024X64 256X256 
4 100 1.99e+06 25 4 1024 0 0 2 2 26774.1 23075.8 25395.9 15955.7 15976.5 11035.6 
4 250 3.11875e+07 63 4 1024 0 0 2 2 31273.7 34275 36119.8 23400 22958.1 12211.2 
4 500 2.4975e+08 125 4 1024 0 0 2 2 31526.9 29238.1 34879 49404.5 49319.1 29412.1 
4 750 8.43188e+08 188 4 1024 0 0 2 2 25044.3 15156.5 25189.1 48479.8 42200.3 40551.2 
4 1000 1.999e+09 250 4 1024 0 0 2 2 24581.3 14504.6 24890.5 50100 42340.7 52403.3 
4 2500 3.12438e+10 1875 4 1024 0 0 2 2 12296.9 10375.7 19001.1 46703.4 42672 51971.6 
4 5000 2.49975e+11 6250 4 1024 0 0 2 2 11364 8074.98 17001.9 47084.4 42688.2 52634.1 
4 7500 8.43694e+11 15000 4 1024 0 0 2 2 10597.6 7636.62 15593.4 46963.2 42380.3 52931.2 
4 100 1.99e+06 25 4 1024 1 1 2 2 22781.6 27164.3 25839.2 15996.8 16299.8 11175.1 
4 250 3.11875e+07 63 4 1024 1 1 2 2 34287.1 31345.2 35899.4 22856.3 23997.4 12250.3 
4 500 2.4975e+08 125 4 1024 1 1 2 2 29047 31419.2 34742.8 49192.2 50714 34295.7 
4 750 8.43188e+08 188 4 1024 1 1 2 2 15093.5 25117.4 25557.2 42511.9 50016.3 41168.4 
4 1000 1.999e+09 250 4 1024 1 1 2 2 14666.8 24805 24688.5 43247.6 51176.3 52670.6 
4 2500 3.12438e+10 1875 4 1024 1 1 2 2 10359.1 12530.5 19381.7 43071.2 48278.2 52375.2 
4 5000 2.49975e+11 6250 4 1024 1 1 2 2 8081.29 11541.7 17020.7 42900.8 48753.9 53720.9 
4 7500 8.43694e+11 15000 4 1024 1 1 2 2 7605.84 11135.8 15596.6 42964.3 48047.3 53790.8 
4 100 1.99e+06 25 4 1024 0 1 2 2 24776.2 24350.3 20366.5 16422.5 16180.5 11096.1 
4 250 3.11875e+07 63 4 1024 0 1 2 2 37158.8 44428.1 45439.9 23364.3 22891.3 12199.7 
4 500 2.4975e+08 125 4 1024 0 1 2 2 42142.5 56112 47071.3 51082.5 49755 29611.9 
4 750 8.43188e+08 188 4 1024 0 1 2 2 39410.4 43695.7 40328.3 50444.5 43119.5 40772.2 
4 1000 1.999e+09 250 4 1024 0 1 2 2 39079.6 43808.6 39469.7 52094.2 44065 52973.4 
4 2500 3.12438e+10 1875 4 1024 0 1 2 2 19373.1 30828.5 38737.1 50211.4 43209.8 53000.5 
4 5000 2.49975e+11 6250 4 1024 0 1 2 2 14313.4 27855.1 35720.2 50644.5 42749.9 53545.8 
4 7500 8.43694e+11 15000 4 1024 0 1 2 2 13365.9 26349.5 31099.3 50644.8 43144.1 53969.6 
8 100 1.99e+06 25 4 1024 0 0 2 2 39314.1 34185.2 27716.7 14638.5 14380.4 10049.3 
8 250 3.11875e+07 63 4 1024 0 0 2 2 54079.1 58827.4 63733.3 30880.6 29792 11317 
8 500 2.4975e+08 125 4 1024 0 0 2 2 57686.7 53524.5 61823.8 46400.6 45665.9 36470.3 
