39 10 4
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1X4 1X64 1X4096 1X32768 
4 25000 25000 6250 4 1 0 0 1 1 1078.92 1018.16 1082.21 1086.94 
4 50000 50000 12500 4 1 0 0 1 1 3.89792 63.6756 1303.76 1222.54 
4 75000 75000 18750 4 1 0 0 1 1 4.12015 60.4442 1472.46 1521.31 
4 100000 100000 25000 4 1 0 0 1 1 3.64808 61.858 1538.78 1712.1 
4 250000 250000 62500 4 1 0 0 1 1 3.63437 69.32 1797.65 2816.59 
4 500000 500000 125000 4 1 0 0 1 1 3.49053 66.471 1861.05 2913.25 
4 750000 750000 187500 4 1 0 0 1 1 3.29634 65.3649 1644.06 2562.85 
4 1000000 1e+06 250000 4 1 0 0 1 1 3.56798 67.6513 1130.96 1530.69 
4 250 124750 63 4 1 0 0 2 1 7303.03 7205.73 7181.92 7174.78 
4 500 499500 125 4 1 0 0 2 1 3143.92 12595.5 6070.55 6040.24 
4 750 1.12425e+06 188 4 1 0 0 2 1 4573.37 16240.3 6351.53 6312.27 
4 1000 1.999e+06 250 4 1 0 0 2 1 5729.03 18430.1 6652.12 6648.54 
4 2500 1.24975e+07 625 4 1 0 0 2 1 5303.38 6284.37 3083.4 3076.21 
8 25000 25000 6250 4 1 0 0 1 1 1086.24 1098.03 1103.27 1072.18 
8 50000 50000 12500 4 1 0 0 1 1 4.98493 89.8051 1512.58 1099.69 
8 75000 75000 18750 4 1 0 0 1 1 6.26495 76.2056 1904.38 1515.43 
8 100000 100000 25000 4 1 0 0 1 1 4.91761 93.8425 2149.4 1803.22 
8 250000 250000 62500 4 1 0 0 1 1 4.90671 101.024 2708.04 2791.43 
8 500000 500000 125000 4 1 0 0 1 1 4.82687 103.295 2987.67 4639.33 
8 750000 750000 187500 4 1 0 0 1 1 4.48328 97.5637 2528.11 3952.48 
8 1000000 1e+06 250000 4 1 0 0 1 1 4.79958 101.48 1293.77 1698.58 
8 250 124750 63 4 1 0 0 2 1 7077.58 7213.06 7074.36 7260.59 
8 500 499500 125 4 1 0 0 2 1 4286.85 13195.1 5531.92 5526.86 
8 750 1.12425e+06 188 4 1 0 0 2 1 6347.4 20168.4 5851.1 5847.38 
8 1000 1.999e+06 250 4 1 0 0 2 1 8850.07 26913.1 6159.43 6130.38 
8 2500 1.24975e+07 625 4 1 0 0 2 1 5744.06 6381.54 2951.46 2952.32 
12 25000 25000 6250 4 1 0 0 1 1 1080.35 1083.55 1071.54 1076.68 
12 50000 50000 12500 4 1 0 0 1 1 3.64506 66.4787 989.532 960.684 
12 75000 75000 18750 4 1 0 0 1 1 4.74579 58.196 1332.8 1229.51 
12 100000 100000 25000 4 1 0 0 1 1 3.69455 70.0862 1518.27 1447.18 
12 250000 250000 62500 4 1 0 0 1 1 3.91834 76.3661 2278.1 2307.34 
12 500000 500000 125000 4 1 0 0 1 1 4.01016 80.5627 2451.43 2788.06 
12 750000 750000 187500 4 1 0 0 1 1 3.90554 82.0892 2202.98 3451.09 
12 1000000 1e+06 250000 4 1 0 0 1 1 4.01067 82.49 1618 2433.63 
12 250 124750 63 4 1 0 0 2 1 7250.59 7139.62 7195.05 7125.78 
12 500 499500 125 4 1 0 0 2 1 3351.72 11195.5 5566.94 5485.75 
12 750 1.12425e+06 188 4 1 0 0 2 1 4903.88 19131.4 5996.49 5905.5 
12 1000 1.999e+06 250 4 1 0 0 2 1 7372.6 25608.6 6350.81 6326.25 
12 2500 1.24975e+07 625 4 1 0 0 2 1 5395 7909.41 2486.17 2469.83 
