160 10 3
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 4X1024 1024X4 64X64 
2 100 10000 25 4 1024 0 0 2 2 1583.12 1524.34 1511.91 
2 250 62500 63 4 1024 0 0 2 2 1402.94 577.505 1348.72 
2 500 250000 125 4 1024 0 0 2 2 1862.98 321.864 1760.33 
2 750 562500 188 4 1024 0 0 2 2 1807.39 284.547 1573.98 
2 1000 1e+06 250 4 1024 0 0 2 2 1094.84 140.653 595.125 
2 100 10000 25 4 1024 1 1 2 2 1508.96 1633.35 1500.44 
2 250 62500 63 4 1024 1 1 2 2 566.986 1426.21 1267.07 
2 500 250000 125 4 1024 1 1 2 2 322.136 1879 1517.81 
2 750 562500 188 4 1024 1 1 2 2 286.633 1797.2 1352.08 
2 1000 1e+06 250 4 1024 1 1 2 2 139.404 1085.93 574.56 
2 100 10000 25 4 1024 0 1 2 2 1095.54 1100.82 1150.59 
2 250 62500 63 4 1024 0 1 2 2 1147.88 600.625 1158.84 
2 500 250000 125 4 1024 0 1 2 2 1272.83 444.017 1251.14 
2 750 562500 188 4 1024 0 1 2 2 583.314 405.722 1028.19 
2 1000 1e+06 250 4 1024 0 1 2 2 493.537 177.843 478.506 
2 100 10000 25 4 1024 1 0 2 2 1152.58 1081.98 1107.23 
2 250 62500 63 4 1024 1 0 2 2 1148.72 597.501 1158.62 
2 500 250000 125 4 1024 1 0 2 2 1268.84 443.938 1254.21 
2 750 562500 188 4 1024 1 0 2 2 604.741 390.962 1015.67 
2 1000 1e+06 250 4 1024 1 0 2 2 500.218 175.526 497.057 
4 100 10000 25 4 1024 0 0 2 2 1489.71 1534.29 1472.21 
4 250 62500 63 4 1024 0 0 2 2 1424.57 640.233 1324.08 
4 500 250000 125 4 1024 0 0 2 2 1912.84 383.698 1736.64 
4 750 562500 188 4 1024 0 0 2 2 1811.09 279.871 1608.34 
4 1000 1e+06 250 4 1024 0 0 2 2 1301.14 195.876 692.412 
4 100 10000 25 4 1024 1 1 2 2 1540.85 1586.81 1503 
4 250 62500 63 4 1024 1 1 2 2 640.042 1436.38 1162.49 
4 500 250000 125 4 1024 1 1 2 2 404.531 1933.05 1476.44 
4 750 562500 188 4 1024 1 1 2 2 274.3 1830.18 1327.06 
4 1000 1e+06 250 4 1024 1 1 2 2 204.209 1318.3 695.752 
4 100 10000 25 4 1024 0 1 2 2 1124.23 1177.98 1159.61 
4 250 62500 63 4 1024 0 1 2 2 1230.14 642.922 1113.56 
4 500 250000 125 4 1024 0 1 2 2 1465.85 520.892 1229.57 
4 750 562500 188 4 1024 0 1 2 2 607.102 406.98 1085.7 
4 1000 1e+06 250 4 1024 0 1 2 2 697.369 271.857 595.45 
4 100 10000 25 4 1024 1 0 2 2 1075.85 1122.69 1121.72 
4 250 62500 63 4 1024 1 0 2 2 1223.28 657.06 1119.19 
4 500 250000 125 4 1024 1 0 2 2 1426.82 520.401 1232.07 
4 750 562500 188 4 1024 1 0 2 2 595.434 393.61 1077.97 
4 1000 1e+06 250 4 1024 1 0 2 2 652.865 227.448 582.46 
6 100 10000 25 4 1024 0 0 2 2 1463.76 1527.72 1481.61 
6 250 62500 63 4 1024 0 0 2 2 1557.45 639.055 1557.7 
6 500 250000 125 4 1024 0 0 2 2 2412.17 460.151 2309.56 
6 750 562500 188 4 1024 0 0 2 2 2476.37 386.469 2235.42 
6 1000 1e+06 250 4 1024 0 0 2 2 1390.77 219.297 915.143 
6 100 10000 25 4 1024 1 1 2 2 1480.75 1585.16 1481.59 
6 250 62500 63 4 1024 1 1 2 2 639.479 1561.12 1502.49 
6 500 250000 125 4 1024 1 1 2 2 458.589 2410.17 2013.64 
6 750 562500 188 4 1024 1 1 2 2 401.678 2418.37 1895.38 
6 1000 1e+06 250 4 1024 1 1 2 2 218.844 1435.01 887.599 
