15 10 6
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1X4 1X16 1X64 1X128 1X256 1X512 
4 250 124750 63 4 1 0 0 2 1 7137.21 7207.69 7194.25 7183.41 7178.14 7176.23 
4 500 499500 125 4 1 0 0 2 1 3106.87 7952.14 12703.5 10150.6 10633.9 6064.51 
4 750 1.12425e+06 188 4 1 0 0 2 1 4520.47 10975.7 16271.3 15334.2 12632.7 9014.5 
4 1000 1.999e+06 250 4 1 0 0 2 1 5697.19 13464.2 18600.7 20517.6 12693.9 12509.3 
4 2500 1.24975e+07 625 4 1 0 0 2 1 5321.12 6151.98 6300.41 6367.98 6148.65 5916.38 
8 250 124750 63 4 1 0 0 2 1 7149.37 7046.68 7094.27 7065.17 7153.79 7149.9 
8 500 499500 125 4 1 0 0 2 1 4271.8 10456.6 13248.8 11577.6 9592.9 5539.61 
8 750 1.12425e+06 188 4 1 0 0 2 1 6322.19 15401.3 20524.4 14917.1 13509.9 8302.94 
8 1000 1.999e+06 250 4 1 0 0 2 1 8806.79 20099.6 26909 19962.3 15939.8 11407.3 
8 2500 1.24975e+07 625 4 1 0 0 2 1 5760.88 6341.14 6435.15 6406.57 6615.65 6053.41 
12 250 124750 63 4 1 0 0 2 1 7163.8 7122.48 7070.83 7120.3 7198.28 7110.71 
12 500 499500 125 4 1 0 0 2 1 3385.75 7579.36 11652.3 10348 8746 5425.12 
12 750 1.12425e+06 188 4 1 0 0 2 1 4978.79 14456 18788 14870.8 12651.3 8125.15 
12 1000 1.999e+06 250 4 1 0 0 2 1 7600.18 20515.6 26259.2 19622.4 15732.2 11369.9 
12 2500 1.24975e+07 625 4 1 0 0 2 1 5526.73 6361.76 6381.08 6225.82 5799.18 6747.34 
