32 10 11
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 2 3 4 5 6 7 8 9 10 20 
2 1000 1.999e+09 16 256 256 0 0 2 2 27439.7 27704.2 24814.6 27625.9 22491.6 23042.5 25675 27563.5 24397.6 21902.6 14195 
2 2500 3.12438e+10 100 256 256 0 0 2 2 27249.3 27394.7 26775.3 26691.5 27429.6 27077.6 27045.6 25370.8 25108.2 26931.1 23311.2 
2 5000 2.49975e+11 400 256 256 0 0 2 2 27383.8 27320 27292.7 27305 27311.3 27311.6 27286.1 27288 27297.1 27022.7 26856.9 
2 7500 8.43694e+11 900 256 256 0 0 2 2 27414.6 27359.3 27469.9 27454.3 27396.3 27397.1 27471.6 27310.5 27398.4 27206.2 27394.8 
4 1000 1.999e+09 16 256 256 0 0 2 2 52438.5 51992.2 36269.3 48835.9 38574.9 34983.6 29932.4 26825.5 23516.6 21299.1 13846.2 
4 2500 3.12438e+10 100 256 256 0 0 2 2 52077 50923.8 49547.2 48233.9 48031.4 49496.3 46713.4 49727.1 47706 43530.2 34647.7 
4 5000 2.49975e+11 400 256 256 0 0 2 2 52798.2 52742.5 51919.4 52085.1 51525.1 51852.5 51940.4 51487.6 51814.1 50346.4 52226 
4 7500 8.43694e+11 900 256 256 0 0 2 2 52876 52852 52731.1 52543 52262.6 52086.6 52274.8 52361.5 51299.3 52200.9 51646.5 
6 1000 1.999e+09 16 256 256 0 0 2 2 67188.3 50983.3 45504.4 49397.3 40149.9 33996.8 29025.2 25705.1 23294.6 20809.6 13311 
6 2500 3.12438e+10 100 256 256 0 0 2 2 74040.3 70682.2 68352.7 65958 65316.5 68642.2 60467.3 67016.3 68191.2 62572 55924.7 
6 5000 2.49975e+11 400 256 256 0 0 2 2 75783.4 75005.6 74796.9 74062.5 74026.7 74316 72534.1 70815 69769.1 71553.2 63259.4 
6 7500 8.43694e+11 900 256 256 0 0 2 2 75600.4 75297.6 75153.9 74655.2 75442.7 74747.9 74736.8 74281.8 73905.7 74246.8 70436.8 
8 1000 1.999e+09 16 256 256 0 0 2 2 93572 49762.3 49737.2 49150 38442.7 32113.7 28018.9 24896.2 21912.2 19772.6 12958.9 
8 2500 3.12438e+10 100 256 256 0 0 2 2 92998.5 87858.1 83771.9 80841.4 80083.1 80402.6 83504.8 74237.8 66548 59528.2 57984.8 
8 5000 2.49975e+11 400 256 256 0 0 2 2 96378 94981.1 94481.1 94315.9 93430.8 91446.6 88761.7 89352.5 87715 91136.6 79777.3 
8 7500 8.43694e+11 900 256 256 0 0 2 2 94158.3 93777.9 93140.5 93092.6 93064 92159.5 92179.6 92508.4 91956.2 91814.3 89403.5 
10 1000 1.999e+09 16 256 256 0 0 2 2 94673.7 55824.4 54048.4 48647.8 39379.9 33001.2 28526.5 25361.8 22887.6 20520.8 13302 
10 2500 3.12438e+10 100 256 256 0 0 2 2 115856 110946 100707 99594.9 105753 97153.1 84756.9 75093.7 69465.5 75523.1 62390.4 
10 5000 2.49975e+11 400 256 256 0 0 2 2 119817 116518 118972 112404 115452 110557 109200 108744 104572 118325 107661 
10 7500 8.43694e+11 900 256 256 0 0 2 2 117857 118893 117523 118043 117250 117560 113645 117536 116630 116637 108811 
12 1000 1.999e+09 16 256 256 0 0 2 2 94649.2 62415.4 55808.1 49035.2 39388.7 32968.4 28603.2 25446.1 22968.8 20649.5 13299.8 
12 2500 3.12438e+10 100 256 256 0 0 2 2 132770 126829 125902 113750 117883 97301.9 86937.1 79096.9 86214.5 79916.7 62271.5 
12 5000 2.49975e+11 400 256 256 0 0 2 2 144596 139538 137969 131059 131014 131497 132190 132936 131810 123926 119685 
12 7500 8.43694e+11 900 256 256 0 0 2 2 141845 142146 141697 136036 140477 136405 137847 136731 138566 133526 128241 
14 1000 1.999e+09 16 256 256 0 0 2 2 94475 64123.9 51399.8 48456.3 38890.7 32934.4 28409.1 25333.6 22669.6 20273.7 12877.7 
14 2500 3.12438e+10 100 256 256 0 0 2 2 150957 145980 132024 143166 118967 100545 93002.4 92158.8 92853.6 88366.5 62237 
14 5000 2.49975e+11 400 256 256 0 0 2 2 165045 159245 155535 152560 149523 151881 148194 146398 144135 152066 115810 
14 7500 8.43694e+11 900 256 256 0 0 2 2 166048 160658 161794 161504 159371 157889 157328 159568 150847 152494 135491 
16 1000 1.999e+09 16 256 256 0 0 2 2 93734.2 62308.6 52580.4 48249.1 38771.6 32543.5 27874.2 23357.7 21944.3 19814 12708.5 
16 2500 3.12438e+10 100 256 256 0 0 2 2 166913 154498 139400 142111 117287 100947 92761.9 81671.8 95157.5 91701.5 61802.8 
16 5000 2.49975e+11 400 256 256 0 0 2 2 181407 179429 174007 166750 164527 169036 165063 161714 168048 153795 118856 
16 7500 8.43694e+11 900 256 256 0 0 2 2 185055 183863 181324 180425 173739 175067 178064 173115 169318 171759 169138 
